episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,0,0.696319,0.000047
2,0,0.698972,0.000167
3,0,0.701229,0.000371
4,1,0.703113,0.000310
5,1,0.707702,0.000248
6,0,0.711764,0.000198
7,0,0.714097,0.000249
8,1,0.716041,0.000199
9,0,0.720371,0.000189
10,1,0.722355,0.000151
11,0,0.726546,0.000121
12,1,0.728563,0.000097
13,1,0.732623,0.000077
14,0,0.736167,0.000062
15,1,0.738619,0.000050
16,1,0.742075,0.000040
17,1,0.745047,0.000032
18,0,0.747562,0.000025
19,1,0.750814,0.000020
20,1,0.753311,0.000016
21,1,0.755376,0.000122
22,1,0.757034,0.000343
23,0,0.758310,0.000291
24,1,0.762679,0.000387
25,1,0.764018,0.000617
26,0,0.764989,0.000528
27,0,0.769580,0.000422
28,1,0.773584,0.000342
29,0,0.775061,0.000273
30,0,0.778917,0.000219
31,1,0.782227,0.000175
32,0,0.784170,0.000140
33,1,0.787381,0.000112
34,1,0.789327,0.000107
35,0,0.790843,0.000086
36,0,0.794373,0.000069
37,1,0.797364,0.000055
38,1,0.799340,0.000062
39,0,0.800875,0.000050
40,0,0.804201,0.000040
41,1,0.806991,0.000032
42,0,0.808982,0.000025
43,1,0.811698,0.000020
44,1,0.813675,0.000049
45,0,0.815197,0.000039
46,0,0.818267,0.000031
47,0,0.820806,0.000025
48,0,0.822846,0.000040
49,1,0.824420,0.000032
50,1,0.827262,0.000025
51,0,0.829579,0.000020
52,1,0.831600,0.000016
53,1,0.833864,0.000013
54,0,0.835636,0.000010
55,1,0.838064,0.000008
56,0,0.839822,0.000007
57,1,0.842183,0.000005
58,1,0.843924,0.000075
59,1,0.845198,0.000236
60,0,0.846037,0.000211
61,1,0.849207,0.000293
62,0,0.850093,0.000235
63,1,0.853130,0.000275
64,0,0.854057,0.000220
65,1,0.856970,0.000236
66,0,0.857932,0.000189
67,1,0.860727,0.000192
68,0,0.861721,0.000153
69,0,0.864406,0.000123
70,1,0.866540,0.000098
71,1,0.868017,0.000115
72,0,0.869022,0.000092
73,1,0.871542,0.000100
74,1,0.872569,0.000212
75,0,0.873150,0.000170
76,1,0.876020,0.000227
77,1,0.876651,0.000400
78,1,0.876860,0.000680
79,0,0.876676,0.000638
80,0,0.880299,0.000510
81,1,0.883288,0.000465
82,1,0.883674,0.000571
83,0,0.883647,0.000457
84,1,0.886938,0.000492
85,1,0.886998,0.000675
86,1,0.886664,0.000984
87,0,0.885964,0.000898
88,1,0.889962,0.001000
89,1,0.889393,0.001257
90,1,0.888471,0.001639
91,1,0.887219,0.002118
92,1,0.885661,0.002669
93,1,0.883817,0.003271
94,0,0.881709,0.003087
95,1,0.887568,0.003148
96,0,0.885679,0.002637
97,1,0.891147,0.002466
98,1,0.889463,0.002554
99,1,0.887499,0.002834
100,0,0.885275,0.002421
101,0,0.891198,0.001937
102,0,0.896310,0.001549
103,1,0.900664,0.001240
104,1,0.899613,0.000992
105,1,0.898232,0.000991
106,1,0.896543,0.001231
107,1,0.894567,0.001649
108,1,0.892327,0.002192
109,0,0.889839,0.001940
110,0,0.896002,0.001552
111,1,0.901330,0.001242
112,0,0.899554,0.000993
113,0,0.904527,0.000795
114,1,0.908743,0.000636
115,1,0.907639,0.000509
116,0,0.906201,0.000407
117,1,0.910588,0.000326
118,0,0.909319,0.000260
119,1,0.913425,0.000208
120,1,0.912313,0.000176
121,0,0.910863,0.000141
122,1,0.915148,0.000112
123,1,0.913866,0.000249
124,1,0.912256,0.000591
125,1,0.910341,0.001086
126,0,0.908142,0.000930
127,1,0.913437,0.001052
128,1,0.911453,0.001382
129,1,0.909190,0.001864
130,0,0.906666,0.001615
131,1,0.912431,0.001671
132,1,0.910142,0.001953
133,1,0.907594,0.002397
134,0,0.904806,0.002052
135,1,0.910983,0.002042
136,1,0.908444,0.002277
137,1,0.905665,0.002688
138,1,0.902661,0.003220
139,0,0.899451,0.002814
140,1,0.906380,0.002758
141,0,0.903442,0.002206
142,0,0.909867,0.001765
143,0,0.915422,0.001412
144,0,0.920164,0.001129
145,1,0.924149,0.000904
146,0,0.922916,0.000723
147,1,0.926643,0.000578
148,0,0.925558,0.000463
149,1,0.929048,0.000370
150,0,0.928100,0.000296
151,1,0.931372,0.000237
152,1,0.930550,0.000189
153,1,0.929354,0.000152
154,0,0.927809,0.000121
155,1,0.931781,0.000097
156,1,0.930403,0.000226
157,0,0.928688,0.000181
158,1,0.932843,0.000167
159,1,0.931304,0.000390
160,0,0.929439,0.000312
161,0,0.933758,0.000250
162,1,0.937335,0.000200
163,1,0.936148,0.000219
164,1,0.934605,0.000460
165,1,0.932733,0.000872
166,1,0.930555,0.001408
167,1,0.928093,0.002032
168,1,0.925367,0.002714
169,1,0.922398,0.003429
170,1,0.919204,0.004157
171,1,0.915801,0.004882
172,1,0.912206,0.005592
173,0,0.908433,0.005156
174,1,0.915949,0.005034
175,1,0.912474,0.005141
176,1,0.908814,0.005409
177,1,0.904984,0.005788
178,1,0.900996,0.006236
179,0,0.896864,0.005472
180,1,0.905298,0.005120
181,1,0.901481,0.005069
182,1,0.897509,0.005232
183,1,0.893395,0.005543
184,1,0.889150,0.005950
185,1,0.884786,0.006413
186,1,0.880313,0.006903
187,0,0.875740,0.005946
188,1,0.885593,0.005452
189,0,0.881352,0.004361
190,0,0.890447,0.003489
191,1,0.898495,0.002791
192,1,0.895022,0.002233
193,1,0.891378,0.001806
194,1,0.887576,0.001788
195,1,0.883630,0.002058
196,1,0.879550,0.002524
197,1,0.875348,0.003115
198,1,0.871034,0.003779
199,1,0.866618,0.004475
200,1,0.862110,0.005174
201,0,0.857518,0.004322
202,1,0.867995,0.003942
203,1,0.863732,0.003903
204,1,0.859370,0.004102
205,0,0.854917,0.003281
206,1,0.865217,0.002665
207,1,0.861090,0.002493
208,1,0.856857,0.002635
209,1,0.852528,0.002993
210,1,0.848111,0.003490
211,0,0.843615,0.002792
212,1,0.854358,0.002306
213,1,0.850187,0.002234
214,1,0.845921,0.002451
215,1,0.841568,0.002863
216,1,0.837136,0.003398
217,1,0.832634,0.004004
