episode,is_optimal,expected,unexpected
0,1,0.008326,0.000000
1,1,0.016587,0.000047
2,0,0.024782,0.000037
3,1,0.032918,0.000030
4,1,0.040988,0.000108
5,0,0.048990,0.000086
6,1,0.056937,0.000096
7,1,0.064819,0.000220
8,0,0.072632,0.000176
9,1,0.080393,0.000209
10,0,0.088088,0.000167
11,1,0.095731,0.000152
12,0,0.103310,0.000122
13,0,0.110836,0.000097
14,1,0.118308,0.000078
15,1,0.125720,0.000062
16,1,0.133068,0.000175
17,0,0.140353,0.000140
18,0,0.147590,0.000112
19,0,0.154776,0.000090
20,1,0.161908,0.000072
21,1,0.168984,0.000057
22,1,0.176001,0.000124
23,0,0.182956,0.000099
24,0,0.189865,0.000079
25,0,0.196725,0.000063
26,1,0.203532,0.000051
27,0,0.210286,0.000041
28,1,0.216988,0.000032
29,0,0.223637,0.000026
30,0,0.230236,0.000021
31,0,0.236781,0.000034
32,1,0.243272,0.000028
33,1,0.249717,0.000022
34,1,0.256112,0.000018
35,1,0.262456,0.000038
36,1,0.268748,0.000160
37,0,0.274984,0.000128
38,1,0.281177,0.000191
39,0,0.287317,0.000153
40,1,0.293414,0.000181
41,0,0.299459,0.000145
42,0,0.305461,0.000116
43,0,0.311419,0.000093
44,1,0.317330,0.000074
45,1,0.323194,0.000059
46,0,0.329011,0.000047
47,0,0.334783,0.000038
48,1,0.340510,0.000030
49,1,0.346193,0.000024
50,1,0.351828,0.000096
51,0,0.357415,0.000077
52,1,0.362962,0.000116
53,0,0.368461,0.000093
54,0,0.373920,0.000074
55,1,0.379338,0.000059
56,0,0.384712,0.000048
57,0,0.390045,0.000038
58,1,0.395333,0.000030
59,1,0.400581,0.000024
60,0,0.405787,0.000019
61,0,0.410952,0.000016
62,1,0.416074,0.000012
63,1,0.421157,0.000010
64,0,0.426199,0.000008
65,1,0.431201,0.000006
66,0,0.436162,0.000005
67,1,0.441085,0.000005
68,0,0.445968,0.000004
69,1,0.450812,0.000005
70,1,0.455616,0.000070
71,0,0.460379,0.000056
72,0,0.465107,0.000045
73,0,0.469797,0.000051
74,1,0.474448,0.000041
75,0,0.479064,0.000046
76,0,0.483640,0.000125
77,1,0.488176,0.000100
78,0,0.492679,0.000145
79,1,0.497142,0.000116
80,0,0.501573,0.000142
81,0,0.505965,0.000262
82,1,0.510315,0.000218
83,0,0.514636,0.000280
84,1,0.518917,0.000224
85,0,0.523168,0.000253
86,0,0.527380,0.000396
87,1,0.531551,0.000332
88,0,0.535695,0.000398
89,0,0.539799,0.000587
90,1,0.543862,0.000512
91,1,0.547900,0.000409
92,1,0.551912,0.000327
93,1,0.555894,0.000262
94,1,0.559844,0.000210
95,1,0.563760,0.000186
96,1,0.567639,0.000286
97,0,0.571480,0.000229
98,0,0.575296,0.000183
99,0,0.579086,0.000147
100,0,0.582845,0.000117
101,1,0.586573,0.000094
102,1,0.590271,0.000075
103,0,0.593938,0.000060
