episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,1,0.696319,0.000000
2,0,0.699777,0.000000
3,0,0.702819,0.000014
4,1,0.705438,0.000011
5,0,0.709220,0.000009
6,0,0.711837,0.000075
7,0,0.714050,0.000245
8,0,0.715882,0.000515
9,1,0.717355,0.000457
10,0,0.722183,0.000552
11,0,0.723727,0.000782
12,1,0.724924,0.000659
13,1,0.729946,0.000527
14,0,0.734390,0.000422
15,0,0.736082,0.000482
16,1,0.737407,0.000386
17,0,0.742077,0.000372
18,1,0.743472,0.000297
19,0,0.747963,0.000245
20,0,0.749421,0.000373
21,0,0.750516,0.000651
22,1,0.751271,0.000537
23,0,0.756357,0.000629
24,0,0.757212,0.000888
25,1,0.757736,0.000729
26,1,0.762979,0.000583
27,1,0.767596,0.000466
28,0,0.771627,0.000373
29,1,0.773112,0.000298
30,1,0.776994,0.000239
31,1,0.780331,0.000191
32,0,0.783154,0.000153
33,0,0.785527,0.000122
34,1,0.787446,0.000098
35,0,0.790623,0.000078
36,0,0.792545,0.000063
37,0,0.794036,0.000163
38,0,0.795123,0.000398
39,1,0.795833,0.000330
40,0,0.800144,0.000431
41,1,0.800936,0.000345
42,1,0.805057,0.000276
43,0,0.808588,0.000221
44,0,0.809892,0.000266
45,0,0.810790,0.000462
46,1,0.811309,0.000370
47,0,0.815531,0.000448
48,0,0.816137,0.000680
49,1,0.816378,0.000565
50,0,0.820814,0.000646
51,0,0.821158,0.000890
52,1,0.821149,0.000747
53,0,0.825777,0.000819
54,1,0.825885,0.000655
55,0,0.830278,0.000638
56,1,0.830494,0.000511
57,1,0.834667,0.000409
58,1,0.838217,0.000327
59,0,0.841182,0.000261
60,0,0.842396,0.000209
61,0,0.843180,0.000247
62,1,0.843564,0.000197
63,1,0.847276,0.000158
64,0,0.850383,0.000126
65,0,0.851301,0.000142
66,1,0.851801,0.000113
67,0,0.855213,0.000102
68,1,0.855780,0.000081
69,1,0.859035,0.000065
70,0,0.861706,0.000052
71,0,0.862791,0.000054
72,1,0.863436,0.000043
73,1,0.866447,0.000035
74,0,0.868881,0.000028
75,0,0.870037,0.000040
76,0,0.870742,0.000184
77,1,0.871025,0.000147
78,1,0.874258,0.000118
79,0,0.876893,0.000094
80,0,0.877712,0.000169
81,0,0.878096,0.000373
82,1,0.878073,0.000310
83,1,0.881485,0.000248
84,0,0.884278,0.000198
85,1,0.884812,0.000159
86,1,0.887478,0.000127
87,0,0.889571,0.000102
88,0,0.890619,0.000092
89,1,0.891204,0.000074
90,1,0.893678,0.000059
91,0,0.895586,0.000047
92,1,0.896679,0.000038
93,1,0.898522,0.000030
94,0,0.899839,0.000024
95,1,0.901398,0.000019
96,1,0.902693,0.000024
97,1,0.903496,0.000125
98,1,0.903839,0.000329
99,1,0.903754,0.000632
100,1,0.903269,0.001023
101,1,0.902413,0.001492
102,0,0.901211,0.001459
103,0,0.905436,0.001167
104,0,0.908958,0.000934
105,1,0.911823,0.000747
106,1,0.911739,0.000730
107,1,0.911248,0.000888
108,1,0.910378,0.001190
109,1,0.909156,0.001607
110,1,0.907606,0.002113
111,1,0.905751,0.002685
112,1,0.903612,0.003303
113,1,0.901211,0.003949
114,1,0.898565,0.004607
115,1,0.895694,0.005265
116,1,0.892613,0.005914
117,1,0.889338,0.006543
118,1,0.885885,0.007146
119,1,0.882266,0.007718
120,1,0.878495,0.008255
121,1,0.874584,0.008754
122,1,0.870544,0.009214
123,1,0.866387,0.009633
124,1,0.862122,0.010010
125,1,0.857758,0.010347
126,1,0.853305,0.010644
