episode,is_optimal,expected,unexpected
0,0,0.008326,0.000000
1,0,0.016587,0.000047
2,0,0.024782,0.000167
3,0,0.032908,0.000371
4,0,0.040964,0.000662
5,0,0.048949,0.001035
6,1,0.056861,0.000971
7,0,0.064725,0.001077
8,1,0.072519,0.000861
9,1,0.080265,0.000689
10,0,0.087960,0.000551
11,1,0.095588,0.000441
12,0,0.103166,0.000353
13,0,0.110679,0.000360
14,1,0.118126,0.000288
15,1,0.125525,0.000231
16,1,0.132873,0.000184
17,0,0.140169,0.000148
18,0,0.147405,0.000118
19,1,0.154580,0.000094
20,1,0.161705,0.000076
21,1,0.168778,0.000060
22,0,0.175797,0.000048
23,1,0.182762,0.000039
24,1,0.189672,0.000031
25,1,0.196528,0.000025
26,1,0.203325,0.000129
27,1,0.210063,0.000356
28,0,0.216739,0.000301
29,1,0.223374,0.000400
30,1,0.229949,0.000636
31,0,0.236463,0.000546
32,0,0.242937,0.000437
33,0,0.249369,0.000349
34,1,0.255756,0.000279
35,0,0.262089,0.000224
36,1,0.268378,0.000179
37,0,0.274613,0.000143
38,1,0.280804,0.000114
39,1,0.286942,0.000133
40,0,0.293027,0.000106
41,0,0.299071,0.000085
42,0,0.305070,0.000068
43,0,0.311024,0.000054
44,1,0.316928,0.000044
45,1,0.322789,0.000035
46,0,0.328602,0.000028
47,1,0.334371,0.000022
48,0,0.340094,0.000018
49,1,0.345773,0.000014
50,1,0.351406,0.000022
51,1,0.356992,0.000125
52,0,0.362529,0.000100
53,1,0.368027,0.000156
54,1,0.373477,0.000319
55,0,0.378877,0.000273
56,1,0.384242,0.000352
57,0,0.389558,0.000281
58,1,0.394839,0.000315
59,1,0.400072,0.000475
60,1,0.405255,0.000752
61,0,0.410387,0.000693
62,0,0.415490,0.000555
63,1,0.420560,0.000495
64,1,0.425582,0.000597
65,0,0.430557,0.000478
66,1,0.435501,0.000506
67,1,0.440397,0.000689
68,0,0.445245,0.000565
69,1,0.450065,0.000628
70,0,0.454837,0.000502
71,1,0.459581,0.000501
72,0,0.464279,0.000401
73,0,0.468949,0.000321
74,1,0.473588,0.000257
75,1,0.478184,0.000257
76,0,0.482736,0.000206
