episode,is_optimal,expected,unexpected
0,1,0.008326,0.000000
1,0,0.016587,0.000000
2,0,0.024787,0.000000
3,0,0.032922,0.000020
4,1,0.040992,0.000016
5,0,0.049003,0.000013
6,1,0.056950,0.000010
7,0,0.064839,0.000008
8,0,0.072665,0.000059
9,0,0.080425,0.000218
10,1,0.088118,0.000174
11,0,0.095760,0.000231
12,1,0.103336,0.000185
13,1,0.110862,0.000148
14,0,0.118334,0.000118
15,0,0.125745,0.000129
16,0,0.133092,0.000273
17,0,0.140375,0.000540
18,0,0.147591,0.000912
19,1,0.154740,0.000854
20,0,0.161847,0.000978
21,0,0.168889,0.001252
22,0,0.175863,0.001647
23,0,0.182770,0.002134
24,0,0.189607,0.002691
25,0,0.196374,0.003296
26,1,0.203070,0.003099
27,0,0.209738,0.003151
28,1,0.216337,0.002620
29,0,0.222907,0.002436
30,0,0.229410,0.002516
31,1,0.235845,0.002013
32,0,0.242253,0.001865
33,0,0.248595,0.001986
34,0,0.254870,0.002306
35,0,0.261078,0.002769
36,0,0.267217,0.003328
37,0,0.273288,0.003950
38,0,0.279290,0.004605
39,0,0.285222,0.005271
40,0,0.291085,0.005931
41,0,0.296877,0.006572
42,0,0.302598,0.007186
43,1,0.308249,0.006463
44,0,0.313898,0.006116
45,0,0.319478,0.006045
46,0,0.324989,0.006170
47,0,0.330432,0.006430
48,0,0.335806,0.006777
49,0,0.341111,0.007175
50,1,0.346348,0.006153
51,0,0.351591,0.005607
52,0,0.356767,0.005409
53,1,0.361877,0.004327
54,0,0.366992,0.003565
55,0,0.372042,0.003266
56,0,0.377028,0.003300
57,0,0.381949,0.003567
58,0,0.386805,0.003989
59,1,0.391596,0.003191
60,0,0.396399,0.002747
61,0,0.401140,0.002693
62,0,0.405817,0.002913
63,0,0.410431,0.003318
64,0,0.414983,0.003841
65,0,0.419472,0.004431
66,0,0.423898,0.005050
67,0,0.428261,0.005671
68,0,0.432561,0.006274
69,0,0.436799,0.006844
70,0,0.440975,0.007373
71,1,0.445089,0.006086
72,0,0.449233,0.005345
73,0,0.453317,0.005005
74,0,0.457342,0.004949
75,1,0.461306,0.003959
76,0,0.465300,0.003167
77,0,0.469237,0.002685
78,0,0.473116,0.002594
