episode,is_optimal,expected,unexpected,ach,sigma_ne,argmax_fallback
3071,1,0.010000,0.000013,0.010000,0.376204,1
3072,1,0.010000,0.000013,0.010000,0.376204,1
3073,1,0.010000,0.000013,0.010000,0.376204,1
3074,1,0.010000,0.000013,0.010000,0.376203,1
3075,1,0.010000,0.000013,0.010000,0.376203,1
3076,1,0.010000,0.000013,0.010000,0.376203,1
3077,1,0.010000,0.000013,0.010000,0.376203,0
3078,1,0.010000,0.000013,0.010000,0.376203,1
3079,1,0.010000,0.000013,0.010000,0.376203,1
3080,1,0.010000,0.000013,0.010000,0.376202,1
3081,1,0.010000,0.000013,0.010000,0.376202,0
3082,1,0.010000,0.000013,0.010000,0.376202,1
3083,1,0.010000,0.000013,0.010000,0.376202,1
3084,1,0.010000,0.000013,0.010000,0.376202,1
3085,1,0.010000,0.000013,0.010000,0.376202,1
3086,1,0.010000,0.000013,0.010000,0.376201,1
3087,1,0.010000,0.000013,0.010000,0.376201,0
3088,1,0.010000,0.000013,0.010000,0.376201,1
3089,1,0.010000,0.000013,0.010000,0.376201,1
3090,1,0.010000,0.000013,0.010000,0.376201,1
3091,1,0.010000,0.000013,0.010000,0.376201,1
3092,1,0.010000,0.000013,0.010000,0.376200,1
3093,1,0.010000,0.000013,0.010000,0.376200,1
3094,1,0.010000,0.000012,0.010000,0.376200,1
3095,1,0.010000,0.000012,0.010000,0.376200,1
3096,1,0.010000,0.000012,0.010000,0.376200,1
3097,1,0.010000,0.000012,0.010000,0.376200,1
3098,1,0.010000,0.000012,0.010000,0.376200,1
3099,1,0.010000,0.000012,0.010000,0.376199,1
3100,1,0.010000,0.000012,0.010000,0.376199,1
3101,1,0.010000,0.000012,0.010000,0.376199,0
3102,1,0.010000,0.000012,0.010000,0.376199,1
3103,1,0.010000,0.000012,0.010000,0.376199,1
3104,1,0.010000,0.000012,0.010000,0.376199,1
3105,1,0.010000,0.000012,0.010000,0.376198,1
3106,1,0.010000,0.000012,0.010000,0.376198,1
3107,1,0.010000,0.000012,0.010000,0.376198,1
3108,1,0.010000,0.000012,0.010000,0.376198,1
3109,1,0.010000,0.000012,0.010000,0.376198,1
3110,1,0.010000,0.000012,0.010000,0.376198,1
3111,1,0.010000,0.000012,0.010000,0.376198,1
3112,1,0.010000,0.000012,0.010000,0.376197,1
3113,1,0.010000,0.000012,0.010000,0.376197,1
3114,1,0.010000,0.000012,0.010000,0.376197,0
3115,1,0.010000,0.000012,0.010000,0.376197,1
3116,1,0.010000,0.000012,0.010000,0.376197,1
3117,1,0.010000,0.000012,0.010000,0.376197,1
3118,1,0.010000,0.000012,0.010000,0.376196,1
3119,1,0.010000,0.000012,0.010000,0.376196,1
3120,1,0.010000,0.000012,0.010000,0.376196,1
3121,1,0.010000,0.000012,0.010000,0.376196,1
3122,1,0.010000,0.000012,0.010000,0.376196,1
3123,1,0.010000,0.000012,0.010000,0.376196,1
3124,1,0.010000,0.000012,0.010000,0.376196,1
3125,1,0.010000,0.000012,0.010000,0.376195,1
3126,1,0.010000,0.000012,0.010000,0.376195,0
3127,1,0.010000,0.000012,0.010000,0.376195,1
3128,1,0.010000,0.000012,0.010000,0.376195,1
3129,1,0.010000,0.000012,0.010000,0.376195,1
3130,1,0.010000,0.000012,0.010000,0.376195,0
3131,1,0.010000,0.000012,0.010000,0.376194,1
3132,1,0.010000,0.000012,0.010000,0.376194,1
3133,1,0.010000,0.000012,0.010000,0.376194,1
3134,1,0.010000,0.000012,0.010000,0.376194,0
3135,1,0.010000,0.000012,0.010000,0.376194,0
3136,1,0.010000,0.000012,0.010000,0.376194,1
3137,1,0.010000,0.000012,0.010000,0.376194,0
3138,1,0.010000,0.000012,0.010000,0.376193,1
3139,1,0.010000,0.000012,0.010000,0.376193,1
3140,1,0.010000,0.000012,0.010000,0.376193,0
3141,1,0.010000,0.000012,0.010000,0.376193,1
3142,1,0.010000,0.000012,0.010000,0.376193,0
3143,1,0.010000,0.000012,0.010000,0.376193,1
3144,1,0.010000,0.000012,0.010000,0.376192,1
3145,1,0.010000,0.000012,0.010000,0.376192,1
3146,1,0.010000,0.000012,0.010000,0.376192,1
3147,1,0.010000,0.000012,0.010000,0.376192,1
3148,1,0.010000,0.000012,0.010000,0.376192,1
3149,1,0.010000,0.000012,0.010000,0.376192,1
3150,1,0.010000,0.000012,0.010000,0.376192,1
3151,1,0.010000,0.000012,0.010000,0.376191,1
3152,1,0.010000,0.000012,0.010000,0.376191,1
3153,1,0.010000,0.000012,0.010000,0.376191,1
3154,1,0.010000,0.000012,0.010000,0.376191,1
3155,1,0.010000,0.000012,0.010000,0.376191,1
3156,1,0.010000,0.000012,0.010000,0.376191,1
3157,1,0.010000,0.000012,0.010000,0.376191,1
3158,1,0.010000,0.000012,0.010000,0.376190,1
3159,1,0.010000,0.000012,0.010000,0.376190,1
3160,1,0.010000,0.000012,0.010000,0.376190,1
3161,1,0.010000,0.000012,0.010000,0.376190,1
3162,1,0.010000,0.000012,0.010000,0.376190,1
3163,1,0.010000,0.000012,0.010000,0.376190,1
3164,1,0.010000,0.000012,0.010000,0.376190,1
3165,1,0.010000,0.000012,0.010000,0.376189,1
3166,1,0.010000,0.000012,0.010000,0.376189,1
3167,1,0.010000,0.000012,0.010000,0.376189,1
3168,1,0.010000,0.000012,0.010000,0.376189,1
3169,1,0.010000,0.000012,0.010000,0.376189,1
3170,1,0.010000,0.000012,0.010000,0.376189,1
3171,1,0.010000,0.000012,0.010000,0.376189,1
3172,1,0.010000,0.000012,0.010000,0.376188,1
3173,1,0.010000,0.000012,0.010000,0.376188,1
3174,1,0.010000,0.000012,0.010000,0.376188,0
3175,1,0.010000,0.000012,0.010000,0.376188,1
3176,1,0.010000,0.000012,0.010000,0.376188,1
3177,1,0.010000,0.000012,0.010000,0.376188,1
3178,1,0.010000,0.000012,0.010000,0.376188,1
3179,1,0.010000,0.000012,0.010000,0.376187,1
3180,1,0.010000,0.000012,0.010000,0.376187,1
3181,1,0.010000,0.000012,0.010000,0.376187,1
3182,1,0.010000,0.000012,0.010000,0.376187,1
3183,1,0.010000,0.000012,0.010000,0.376187,1
3184,1,0.010000,0.000012,0.010000,0.376187,0
3185,1,0.010000,0.000012,0.010000,0.376187,0
3186,1,0.010000,0.000012,0.010000,0.376186,1
3187,1,0.010000,0.000011,0.010000,0.376186,1
3188,1,0.010000,0.000011,0.010000,0.376186,1
3189,1,0.010000,0.000011,0.010000,0.376186,1
3190,1,0.010000,0.000011,0.010000,0.376186,1
3191,1,0.010000,0.000011,0.010000,0.376186,1
3192,1,0.010000,0.000011,0.010000,0.376186,1
3193,1,0.010000,0.000011,0.010000,0.376185,1
3194,1,0.010000,0.000011,0.010000,0.376185,1
3195,1,0.010000,0.000011,0.010000,0.376185,1
3196,1,0.010000,0.000011,0.010000,0.376185,1
3197,1,0.010000,0.000011,0.010000,0.376185,1
3198,1,0.010000,0.000011,0.010000,0.376185,1
3199,1,0.010000,0.000011,0.010000,0.376185,1
3200,1,0.010000,0.000011,0.010000,0.376184,1
3201,1,0.010000,0.000011,0.010000,0.376184,1
3202,1,0.010000,0.000011,0.010000,0.376184,1
3203,1,0.010000,0.000011,0.010000,0.376184,1
3204,1,0.010000,0.000011,0.010000,0.376184,1
3205,1,0.010000,0.000011,0.010000,0.376184,1
3206,1,0.010000,0.000011,0.010000,0.376184,0
3207,1,0.010000,0.000011,0.010000,0.376183,1
3208,1,0.010000,0.000011,0.010000,0.376183,1
3209,1,0.010000,0.000011,0.010000,0.376183,1
3210,1,0.010000,0.000011,0.010000,0.376183,1
3211,1,0.010000,0.000011,0.010000,0.376183,0
3212,1,0.010000,0.000011,0.010000,0.376183,0
3213,1,0.010000,0.000011,0.010000,0.376183,1
3214,1,0.010000,0.000011,0.010000,0.376183,1
3215,1,0.010000,0.000011,0.010000,0.376182,0
3216,1,0.010000,0.000011,0.010000,0.376182,1
3217,1,0.010000,0.000011,0.010000,0.376182,1
3218,1,0.010000,0.000011,0.010000,0.376182,0
3219,1,0.010000,0.000011,0.010000,0.376182,1
3220,1,0.010000,0.000011,0.010000,0.376182,0
3221,1,0.010000,0.000011,0.010000,0.376182,1
3222,1,0.010000,0.000011,0.010000,0.376181,1
3223,1,0.010000,0.000011,0.010000,0.376181,1
3224,1,0.010000,0.000011,0.010000,0.376181,1
3225,1,0.010000,0.000011,0.010000,0.376181,1
3226,1,0.010000,0.000011,0.010000,0.376181,1
3227,1,0.010000,0.000011,0.010000,0.376181,1
3228,1,0.010000,0.000011,0.010000,0.376181,1
3229,1,0.010000,0.000011,0.010000,0.376181,1
3230,1,0.010000,0.000011,0.010000,0.376180,1
3231,1,0.010000,0.000011,0.010000,0.376180,1
3232,1,0.010000,0.000011,0.010000,0.376180,1
3233,1,0.010000,0.000011,0.010000,0.376180,1
3234,1,0.010000,0.000011,0.010000,0.376180,1
3235,1,0.010000,0.000011,0.010000,0.376180,1
3236,1,0.010000,0.000011,0.010000,0.376180,1
3237,1,0.010000,0.000011,0.010000,0.376179,1
3238,1,0.010000,0.000011,0.010000,0.376179,0
3239,1,0.010000,0.000011,0.010000,0.376179,1
3240,1,0.010000,0.000011,0.010000,0.376179,0
3241,1,0.010000,0.000011,0.010000,0.376179,0
3242,1,0.010000,0.000011,0.010000,0.376179,1
3243,1,0.010000,0.000011,0.010000,0.376179,0
3244,1,0.010000,0.000011,0.010000,0.376179,1
3245,1,0.010000,0.000011,0.010000,0.376178,1
3246,1,0.010000,0.000011,0.010000,0.376178,1
3247,1,0.010000,0.000011,0.010000,0.376178,1
3248,1,0.010000,0.000011,0.010000,0.376178,1
3249,1,0.010000,0.000011,0.010000,0.376178,1
3250,1,0.010000,0.000011,0.010000,0.376178,1
3251,1,0.010000,0.000011,0.010000,0.376178,1
3252,1,0.010000,0.000011,0.010000,0.376178,1
3253,1,0.010000,0.000011,0.010000,0.376177,1
3254,1,0.010000,0.000011,0.010000,0.376177,1
3255,1,0.010000,0.000011,0.010000,0.376177,1
3256,1,0.010000,0.000011,0.010000,0.376177,1
3257,1,0.010000,0.000011,0.010000,0.376177,1
3258,1,0.010000,0.000011,0.010000,0.376177,1
3259,1,0.010000,0.000011,0.010000,0.376177,1
3260,1,0.010000,0.000011,0.010000,0.376177,1
3261,1,0.010000,0.000011,0.010000,0.376176,1
3262,1,0.010000,0.000011,0.010000,0.376176,1
3263,1,0.010000,0.000011,0.010000,0.376176,1
3264,1,0.010000,0.000011,0.010000,0.376176,1
3265,1,0.010000,0.000011,0.010000,0.376176,1
3266,1,0.010000,0.000011,0.010000,0.376176,1
3267,1,0.010000,0.000011,0.010000,0.376176,1
3268,1,0.010000,0.000011,0.010000,0.376176,1
3269,1,0.010000,0.000011,0.010000,0.376175,1
3270,1,0.010000,0.000011,0.010000,0.376175,1
3271,1,0.010000,0.000011,0.010000,0.376175,1
3272,1,0.010000,0.000011,0.010000,0.376175,1
3273,1,0.010000,0.000011,0.010000,0.376175,1
3274,1,0.010000,0.000011,0.010000,0.376175,1
3275,1,0.010000,0.000011,0.010000,0.376175,1
3276,1,0.010000,0.000011,0.010000,0.376175,1
3277,1,0.010000,0.000011,0.010000,0.376174,1
3278,1,0.010000,0.000011,0.010000,0.376174,1
3279,1,0.010000,0.000011,0.010000,0.376174,1
3280,1,0.010000,0.000011,0.010000,0.376174,1
3281,1,0.010000,0.000011,0.010000,0.376174,1
3282,1,0.010000,0.000011,0.010000,0.376174,1
3283,1,0.010000,0.000011,0.010000,0.376174,1
3284,1,0.010000,0.000011,0.010000,0.376174,1
3285,1,0.010000,0.000011,0.010000,0.376173,1
3286,1,0.010000,0.000011,0.010000,0.376173,1
3287,1,0.010000,0.000011,0.010000,0.376173,1
3288,1,0.010000,0.000011,0.010000,0.376173,1
3289,1,0.010000,0.000011,0.010000,0.376173,1
3290,1,0.010000,0.000011,0.010000,0.376173,1
3291,1,0.010000,0.000011,0.010000,0.376173,1
3292,1,0.010000,0.000011,0.010000,0.376173,1
3293,1,0.010000,0.000010,0.010000,0.376172,1
3294,1,0.010000,0.000010,0.010000,0.376172,1
3295,1,0.010000,0.000010,0.010000,0.376172,0
3296,1,0.010000,0.000010,0.010000,0.376172,1
3297,1,0.010000,0.000010,0.010000,0.376172,0
3298,1,0.010000,0.000010,0.010000,0.376172,1
3299,1,0.010000,0.000010,0.010000,0.376172,1
3300,1,0.010000,0.000010,0.010000,0.376172,0
3301,1,0.010000,0.000010,0.010000,0.376171,1
3302,1,0.010000,0.000010,0.010000,0.376171,1
3303,1,0.010000,0.000010,0.010000,0.376171,0
3304,1,0.010000,0.000010,0.010000,0.376171,1
3305,1,0.010000,0.000010,0.010000,0.376171,1
3306,1,0.010000,0.000010,0.010000,0.376171,1
3307,1,0.010000,0.000010,0.010000,0.376171,1
3308,1,0.010000,0.000010,0.010000,0.376171,0
3309,1,0.010000,0.000010,0.010000,0.376170,1
3310,1,0.010000,0.000010,0.010000,0.376170,1
3311,1,0.010000,0.000010,0.010000,0.376170,1
3312,1,0.010000,0.000010,0.010000,0.376170,1
3313,1,0.010000,0.000010,0.010000,0.376170,1
3314,1,0.010000,0.000010,0.010000,0.376170,1
3315,1,0.010000,0.000010,0.010000,0.376170,0
3316,1,0.010000,0.000010,0.010000,0.376170,1
3317,1,0.010000,0.000010,0.010000,0.376169,1
3318,1,0.010000,0.000010,0.010000,0.376169,1
3319,1,0.010000,0.000010,0.010000,0.376169,1
3320,1,0.010000,0.000010,0.010000,0.376169,0
3321,1,0.010000,0.000010,0.010000,0.376169,1
3322,1,0.010000,0.000010,0.010000,0.376169,1
3323,1,0.010000,0.000010,0.010000,0.376169,1
3324,1,0.010000,0.000010,0.010000,0.376169,1
3325,1,0.010000,0.000010,0.010000,0.376169,1
3326,1,0.010000,0.000010,0.010000,0.376168,0
3327,1,0.010000,0.000010,0.010000,0.376168,1
3328,1,0.010000,0.000010,0.010000,0.376168,1
3329,1,0.010000,0.000010,0.010000,0.376168,1
3330,1,0.010000,0.000010,0.010000,0.376168,1
3331,1,0.010000,0.000010,0.010000,0.376168,1
3332,1,0.010000,0.000010,0.010000,0.376168,1
3333,1,0.010000,0.000010,0.010000,0.376168,1
3334,1,0.010000,0.000010,0.010000,0.376167,1
3335,1,0.010000,0.000010,0.010000,0.376167,1
3336,1,0.010000,0.000010,0.010000,0.376167,0
3337,1,0.010000,0.000010,0.010000,0.376167,1
3338,1,0.010000,0.000010,0.010000,0.376167,1
3339,1,0.010000,0.000010,0.010000,0.376167,1
3340,1,0.010000,0.000010,0.010000,0.376167,1
3341,1,0.010000,0.000010,0.010000,0.376167,1
3342,1,0.010000,0.000010,0.010000,0.376167,1
3343,1,0.010000,0.000010,0.010000,0.376166,0
3344,1,0.010000,0.000010,0.010000,0.376166,1
3345,1,0.010000,0.000010,0.010000,0.376166,1
3346,1,0.010000,0.000010,0.010000,0.376166,1
3347,1,0.010000,0.000010,0.010000,0.376166,1
3348,1,0.010000,0.000010,0.010000,0.376166,1
3349,1,0.010000,0.000010,0.010000,0.376166,0
3350,1,0.010000,0.000010,0.010000,0.376166,1
3351,1,0.010000,0.000010,0.010000,0.376166,1
3352,1,0.010000,0.000010,0.010000,0.376165,1
3353,1,0.010000,0.000010,0.010000,0.376165,1
3354,1,0.010000,0.000010,0.010000,0.376165,0
3355,1,0.010000,0.000010,0.010000,0.376165,1
3356,1,0.010000,0.000010,0.010000,0.376165,1
3357,1,0.010000,0.000010,0.010000,0.376165,1
3358,1,0.010000,0.000010,0.010000,0.376165,1
3359,1,0.010000,0.000010,0.010000,0.376165,1
3360,1,0.010000,0.000010,0.010000,0.376165,1
3361,1,0.010000,0.000010,0.010000,0.376164,1
3362,1,0.010000,0.000010,0.010000,0.376164,1
3363,1,0.010000,0.000010,0.010000,0.376164,1
3364,1,0.010000,0.000010,0.010000,0.376164,1
3365,1,0.010000,0.000010,0.010000,0.376164,1
3366,1,0.010000,0.000010,0.010000,0.376164,1
3367,1,0.010000,0.000010,0.010000,0.376164,1
3368,1,0.010000,0.000010,0.010000,0.376164,1
3369,1,0.010000,0.000010,0.010000,0.376164,1
3370,1,0.010000,0.000010,0.010000,0.376163,1
3371,1,0.010000,0.000010,0.010000,0.376163,1
3372,1,0.010000,0.000010,0.010000,0.376163,1
3373,1,0.010000,0.000010,0.010000,0.376163,1
3374,1,0.010000,0.000010,0.010000,0.376163,1
3375,1,0.010000,0.000010,0.010000,0.376163,1
3376,1,0.010000,0.000010,0.010000,0.376163,1
3377,1,0.010000,0.000010,0.010000,0.376163,1
3378,1,0.010000,0.000010,0.010000,0.376163,1
3379,1,0.010000,0.000010,0.010000,0.376162,1
3380,1,0.010000,0.000010,0.010000,0.376162,1
3381,1,0.010000,0.000010,0.010000,0.376162,1
3382,1,0.010000,0.000010,0.010000,0.376162,1
3383,1,0.010000,0.000010,0.010000,0.376162,0
3384,1,0.010000,0.000010,0.010000,0.376162,1
3385,1,0.010000,0.000010,0.010000,0.376162,1
3386,1,0.010000,0.000010,0.010000,0.376162,1
3387,1,0.010000,0.000010,0.010000,0.376162,1
3388,1,0.010000,0.000010,0.010000,0.376161,1
3389,1,0.010000,0.000010,0.010000,0.376161,0
3390,1,0.010000,0.000010,0.010000,0.376161,1
3391,1,0.010000,0.000010,0.010000,0.376161,0
3392,1,0.010000,0.000010,0.010000,0.376161,1
3393,1,0.010000,0.000010,0.010000,0.376161,1
3394,1,0.010000,0.000010,0.010000,0.376161,1
3395,1,0.010000,0.000010,0.010000,0.376161,1
3396,1,0.010000,0.000010,0.010000,0.376161,1
3397,1,0.010000,0.000010,0.010000,0.376160,1
3398,1,0.010000,0.000010,0.010000,0.376160,1
3399,1,0.010000,0.000010,0.010000,0.376160,1
3400,1,0.010000,0.000010,0.010000,0.376160,1
3401,1,0.010000,0.000010,0.010000,0.376160,1
3402,1,0.010000,0.000010,0.010000,0.376160,1
3403,1,0.010000,0.000010,0.010000,0.376160,1
3404,1,0.010000,0.000010,0.010000,0.376160,1
3405,1,0.010000,0.000010,0.010000,0.376160,0
3406,1,0.010000,0.000010,0.010000,0.376159,1
3407,1,0.010000,0.000010,0.010000,0.376159,1
3408,1,0.010000,0.000010,0.010000,0.376159,1
3409,1,0.010000,0.000010,0.010000,0.376159,1
3410,1,0.010000,0.000010,0.010000,0.376159,1
3411,1,0.010000,0.000010,0.010000,0.376159,1
3412,1,0.010000,0.000010,0.010000,0.376159,1
3413,1,0.010000,0.000010,0.010000,0.376159,1
3414,1,0.010000,0.000010,0.010000,0.376159,1
3415,1,0.010000,0.000010,0.010000,0.376159,1
3416,1,0.010000,0.000009,0.010000,0.376158,1
3417,1,0.010000,0.000009,0.010000,0.376158,1
3418,1,0.010000,0.000009,0.010000,0.376158,1
3419,1,0.010000,0.000009,0.010000,0.376158,1
3420,1,0.010000,0.000009,0.010000,0.376158,1
3421,1,0.010000,0.000009,0.010000,0.376158,1
3422,1,0.010000,0.000009,0.010000,0.376158,1
3423,1,0.010000,0.000009,0.010000,0.376158,1
3424,1,0.010000,0.000009,0.010000,0.376158,0
3425,1,0.010000,0.000009,0.010000,0.376158,1
3426,1,0.010000,0.000009,0.010000,0.376157,0
3427,1,0.010000,0.000009,0.010000,0.376157,0
3428,1,0.010000,0.000009,0.010000,0.376157,1
3429,1,0.010000,0.000009,0.010000,0.376157,1
3430,1,0.010000,0.000009,0.010000,0.376157,0
3431,1,0.010000,0.000009,0.010000,0.376157,1
3432,1,0.010000,0.000009,0.010000,0.376157,1
3433,1,0.010000,0.000009,0.010000,0.376157,1
3434,1,0.010000,0.000009,0.010000,0.376157,1
3435,1,0.010000,0.000009,0.010000,0.376156,1
3436,1,0.010000,0.000009,0.010000,0.376156,1
3437,1,0.010000,0.000009,0.010000,0.376156,1
3438,1,0.010000,0.000009,0.010000,0.376156,1
3439,1,0.010000,0.000009,0.010000,0.376156,1
3440,1,0.010000,0.000009,0.010000,0.376156,1
3441,1,0.010000,0.000009,0.010000,0.376156,1
3442,1,0.010000,0.000009,0.010000,0.376156,1
3443,1,0.010000,0.000009,0.010000,0.376156,1
3444,1,0.010000,0.000009,0.010000,0.376156,1
3445,1,0.010000,0.000009,0.010000,0.376155,1
3446,1,0.010000,0.000009,0.010000,0.376155,1
3447,1,0.010000,0.000009,0.010000,0.376155,1
3448,1,0.010000,0.000009,0.010000,0.376155,1
3449,1,0.010000,0.000009,0.010000,0.376155,1
3450,1,0.010000,0.000009,0.010000,0.376155,1
3451,1,0.010000,0.000009,0.010000,0.376155,0
3452,1,0.010000,0.000009,0.010000,0.376155,1
3453,1,0.010000,0.000009,0.010000,0.376155,1
3454,1,0.010000,0.000009,0.010000,0.376155,1
3455,1,0.010000,0.000009,0.010000,0.376154,1
3456,1,0.010000,0.000009,0.010000,0.376154,1
3457,1,0.010000,0.000009,0.010000,0.376154,1
3458,1,0.010000,0.000009,0.010000,0.376154,1
3459,1,0.010000,0.000009,0.010000,0.376154,1
3460,1,0.010000,0.000009,0.010000,0.376154,1
3461,1,0.010000,0.000009,0.010000,0.376154,1
3462,1,0.010000,0.000009,0.010000,0.376154,0
3463,1,0.010000,0.000009,0.010000,0.376154,1
3464,1,0.010000,0.000009,0.010000,0.376154,1
3465,1,0.010000,0.000009,0.010000,0.376153,1
3466,1,0.010000,0.000009,0.010000,0.376153,1
3467,1,0.010000,0.000009,0.010000,0.376153,1
3468,1,0.010000,0.000009,0.010000,0.376153,1
3469,1,0.010000,0.000009,0.010000,0.376153,1
3470,1,0.010000,0.000009,0.010000,0.376153,1
3471,1,0.010000,0.000009,0.010000,0.376153,1
3472,1,0.010000,0.000009,0.010000,0.376153,1
3473,1,0.010000,0.000009,0.010000,0.376153,1
3474,1,0.010000,0.000009,0.010000,0.376153,1
3475,1,0.010000,0.000009,0.010000,0.376152,1
3476,1,0.010000,0.000009,0.010000,0.376152,1
3477,1,0.010000,0.000009,0.010000,0.376152,0
3478,1,0.010000,0.000009,0.010000,0.376152,1
3479,1,0.010000,0.000009,0.010000,0.376152,1
3480,1,0.010000,0.000009,0.010000,0.376152,1
3481,1,0.010000,0.000009,0.010000,0.376152,1
3482,1,0.010000,0.000009,0.010000,0.376152,1
3483,1,0.010000,0.000009,0.010000,0.376152,1
3484,1,0.010000,0.000009,0.010000,0.376152,1
3485,1,0.010000,0.000009,0.010000,0.376151,1
3486,1,0.010000,0.000009,0.010000,0.376151,1
3487,1,0.010000,0.000009,0.010000,0.376151,1
3488,1,0.010000,0.000009,0.010000,0.376151,1
3489,1,0.010000,0.000009,0.010000,0.376151,1
3490,1,0.010000,0.000009,0.010000,0.376151,1
3491,1,0.010000,0.000009,0.010000,0.376151,1
3492,1,0.010000,0.000009,0.010000,0.376151,1
3493,1,0.010000,0.000009,0.010000,0.376151,0
3494,1,0.010000,0.000009,0.010000,0.376151,0
3495,1,0.010000,0.000009,0.010000,0.376151,1
3496,1,0.010000,0.000009,0.010000,0.376150,1
3497,1,0.010000,0.000009,0.010000,0.376150,1
3498,1,0.010000,0.000009,0.010000,0.376150,1
3499,1,0.010000,0.000009,0.010000,0.376150,0
3500,1,0.010000,0.000009,0.010000,0.376150,1
3501,1,0.010000,0.000009,0.010000,0.376150,1
3502,1,0.010000,0.000009,0.010000,0.376150,1
3503,1,0.010000,0.000009,0.010000,0.376150,0
3504,1,0.010000,0.000009,0.010000,0.376150,1
3505,1,0.010000,0.000009,0.010000,0.376150,1
3506,1,0.010000,0.000009,0.010000,0.376149,1
3507,1,0.010000,0.000009,0.010000,0.376149,1
3508,1,0.010000,0.000009,0.010000,0.376149,1
3509,1,0.010000,0.000009,0.010000,0.376149,1
3510,1,0.010000,0.000009,0.010000,0.376149,0
3511,1,0.010000,0.000009,0.010000,0.376149,1
3512,1,0.010000,0.000009,0.010000,0.376149,1
3513,1,0.010000,0.000009,0.010000,0.376149,1
3514,1,0.010000,0.000009,0.010000,0.376149,1
3515,1,0.010000,0.000009,0.010000,0.376149,1
3516,1,0.010000,0.000009,0.010000,0.376149,1
3517,1,0.010000,0.000009,0.010000,0.376148,1
3518,1,0.010000,0.000009,0.010000,0.376148,1
3519,1,0.010000,0.000009,0.010000,0.376148,0
3520,1,0.010000,0.000009,0.010000,0.376148,1
3521,1,0.010000,0.000009,0.010000,0.376148,0
3522,1,0.010000,0.000009,0.010000,0.376148,1
3523,1,0.010000,0.000009,0.010000,0.376148,1
3524,1,0.010000,0.000009,0.010000,0.376148,0
3525,1,0.010000,0.000009,0.010000,0.376148,1
3526,1,0.010000,0.000009,0.010000,0.376148,1
3527,1,0.010000,0.000009,0.010000,0.376147,1
3528,1,0.010000,0.000009,0.010000,0.376147,0
3529,1,0.010000,0.000009,0.010000,0.376147,1
3530,1,0.010000,0.000009,0.010000,0.376147,1
3531,1,0.010000,0.000009,0.010000,0.376147,1
3532,1,0.010000,0.000009,0.010000,0.376147,0
3533,1,0.010000,0.000009,0.010000,0.376147,0
3534,1,0.010000,0.000009,0.010000,0.376147,1
3535,1,0.010000,0.000009,0.010000,0.376147,1
3536,1,0.010000,0.000009,0.010000,0.376147,1
3537,1,0.010000,0.000009,0.010000,0.376147,1
3538,1,0.010000,0.000009,0.010000,0.376146,1
3539,1,0.010000,0.000009,0.010000,0.376146,1
3540,1,0.010000,0.000009,0.010000,0.376146,0
3541,1,0.010000,0.000009,0.010000,0.376146,1
3542,1,0.010000,0.000009,0.010000,0.376146,1
3543,1,0.010000,0.000009,0.010000,0.376146,1
3544,1,0.010000,0.000009,0.010000,0.376146,1
3545,1,0.010000,0.000009,0.010000,0.376146,0
3546,1,0.010000,0.000009,0.010000,0.376146,1
3547,1,0.010000,0.000009,0.010000,0.376146,1
3548,1,0.010000,0.000009,0.010000,0.376146,0
3549,1,0.010000,0.000009,0.010000,0.376145,1
3550,1,0.010000,0.000009,0.010000,0.376145,1
3551,1,0.010000,0.000009,0.010000,0.376145,1
3552,1,0.010000,0.000009,0.010000,0.376145,1
3553,1,0.010000,0.000009,0.010000,0.376145,1
