episode,is_optimal,expected,unexpected
1,1,0.693247,0.000000
2,0,0.698260,0.000000
3,0,0.703302,0.000000
4,1,0.708370,0.000000
5,1,0.713436,0.000000
6,1,0.718508,0.000017
7,0,0.723584,0.000013
8,0,0.728704,0.000011
9,1,0.733864,0.000009
10,0,0.738999,0.000007
11,0,0.744174,0.000005
12,1,0.749382,0.000004
13,0,0.754560,0.000003
14,1,0.759764,0.000003
15,1,0.764941,0.000019
16,0,0.770093,0.000016
17,1,0.775272,0.000032
18,1,0.780419,0.000067
19,1,0.785530,0.000118
20,1,0.790601,0.000183
21,0,0.795622,0.000175
22,1,0.800709,0.000213
23,1,0.805712,0.000284
24,1,0.810624,0.000382
25,0,0.815433,0.000354
26,0,0.820371,0.000283
27,1,0.825430,0.000271
28,1,0.830310,0.000339
29,1,0.835009,0.000462
30,1,0.839521,0.000624
31,1,0.843836,0.000813
32,1,0.847942,0.001020
33,1,0.851822,0.001240
34,1,0.855458,0.001470
35,0,0.858829,0.001372
36,1,0.862660,0.001408
37,1,0.866130,0.001539
38,0,0.869229,0.001330
39,1,0.872887,0.001321
40,1,0.876085,0.001450
41,0,0.878827,0.001206
42,1,0.882226,0.001200
43,0,0.885086,0.000960
44,1,0.888611,0.000898
45,0,0.891533,0.000718
46,1,0.895122,0.000635
47,0,0.898059,0.000508
48,1,0.901664,0.000424
49,1,0.904578,0.000589
50,1,0.906842,0.000913
51,1,0.908491,0.001331
52,1,0.909557,0.001797
53,0,0.910071,0.001665
54,0,0.911624,0.001332
55,0,0.914085,0.001066
56,1,0.917331,0.000853
57,1,0.919777,0.000808
58,1,0.921485,0.001015
59,1,0.922508,0.001380
60,1,0.922897,0.001836
61,1,0.922696,0.002334
62,1,0.921946,0.002843
63,1,0.920686,0.003340
64,1,0.918949,0.003812
65,0,0.916767,0.003478
66,1,0.916106,0.003411
67,0,0.914875,0.002729
68,1,0.915063,0.002460
69,1,0.914587,0.002488
70,1,0.913505,0.002710
71,1,0.911867,0.003053
72,1,0.909722,0.003463
73,1,0.907111,0.003903
74,1,0.904076,0.004347
75,1,0.900652,0.004779
76,1,0.896872,0.005187
77,1,0.892768,0.005565
78,1,0.888368,0.005911
79,0,0.883698,0.005141
80,1,0.881223,0.004765
81,1,0.878285,0.004663
82,1,0.874929,0.004748
83,1,0.871195,0.004954
84,1,0.867120,0.005232
85,1,0.862739,0.005549
86,1,0.858083,0.005881
87,0,0.853181,0.004919
88,1,0.850670,0.004451
89,0,0.847705,0.003561
90,1,0.846807,0.002849
91,0,0.845307,0.002279
92,1,0.845620,0.001823
93,1,0.845227,0.001459
94,1,0.844197,0.001565
95,1,0.842594,0.001979
96,0,0.840475,0.001583
97,1,0.840234,0.001331
98,1,0.839356,0.001536
99,1,0.837904,0.002033
100,0,0.835935,0.001626
101,1,0.835800,0.001404
102,1,0.835031,0.001639
103,1,0.833691,0.002165
104,1,0.831838,0.002858
105,1,0.829525,0.003631
106,1,0.826797,0.004423
107,1,0.823700,0.005193
108,1,0.820271,0.005914
109,0,0.816547,0.004952
110,0,0.814937,0.003962
111,1,0.815106,0.003169
112,1,0.814645,0.002634
113,1,0.813617,0.002627
114,1,0.812079,0.002965
115,1,0.810082,0.003514
116,1,0.807673,0.004175
117,1,0.804896,0.004881
118,1,0.801789,0.005584
119,1,0.798387,0.006253
120,1,0.794724,0.006868
121,1,0.790827,0.007418
122,1,0.786724,0.007898
123,1,0.782437,0.008309
124,1,0.777990,0.008652
125,1,0.773401,0.008931
126,1,0.768688,0.009152
127,1,0.763868,0.009321
128,1,0.758956,0.009444
129,1,0.753964,0.009527
130,1,0.748905,0.009576
131,1,0.743790,0.009595
132,1,0.738628,0.009590
133,1,0.733429,0.009565
134,1,0.728201,0.009524
135,1,0.722952,0.009469
136,1,0.717688,0.009405
137,1,0.712416,0.009333
138,1,0.707141,0.009255
139,0,0.701868,0.007404
140,1,0.699161,0.005923
141,1,0.696210,0.005000
142,1,0.693043,0.004560
143,1,0.689685,0.004456
144,1,0.686160,0.004576
145,0,0.682487,0.003661
146,1,0.681092,0.002929
147,1,0.679351,0.002343
148,1,0.677302,0.002166
149,1,0.674977,0.002369
150,1,0.672406,0.002813
151,1,0.669618,0.003396
152,1,0.666636,0.004046
153,1,0.663484,0.004711
154,1,0.660183,0.005356
155,1,0.656750,0.005959
156,1,0.653204,0.006505
157,1,0.649558,0.006987
158,1,0.645828,0.007403
159,1,0.642026,0.007754
160,1,0.638162,0.008041
161,1,0.634248,0.008271
162,0,0.630292,0.006616
163,0,0.628645,0.005293
164,1,0.628900,0.004235
165,1,0.628723,0.003388
166,1,0.628156,0.002710
167,1,0.627238,0.002168
168,1,0.626005,0.002083
169,1,0.624490,0.002388
170,1,0.622721,0.002934
171,1,0.620727,0.003612
172,1,0.618533,0.004345
173,0,0.616160,0.003476
174,1,0.615747,0.002781
175,1,0.614990,0.002225
176,1,0.613924,0.002218
177,1,0.612582,0.002577
178,1,0.610991,0.003158
179,1,0.609179,0.003857
180,1,0.607170,0.004598
181,0,0.604985,0.003679
182,1,0.604689,0.002943
183,1,0.604057,0.002354
184,1,0.603124,0.002316
185,1,0.601921,0.002654
186,1,0.600475,0.003219
187,1,0.598812,0.003906
188,1,0.596956,0.004639
189,0,0.594927,0.003711
190,1,0.594725,0.002969
191,1,0.594196,0.002375
192,1,0.593373,0.002299
193,1,0.592286,0.002613
194,1,0.590961,0.003165
195,1,0.589425,0.003845
196,1,0.587700,0.004575
197,1,0.585805,0.005301
198,1,0.583761,0.005989
199,1,0.581584,0.006614
200,1,0.579290,0.007165
201,1,0.576892,0.007636
202,1,0.574403,0.008027
203,1,0.571835,0.008339
204,1,0.569199,0.008578
205,1,0.566502,0.008751
206,1,0.563755,0.008863
207,1,0.560965,0.008923
208,1,0.558138,0.008937
209,1,0.555281,0.008911
210,1,0.552400,0.008853
211,1,0.549499,0.008767
212,0,0.546584,0.007014
213,1,0.545590,0.005611
214,1,0.544396,0.004489
215,1,0.543024,0.003591
216,1,0.541494,0.003115
217,0,0.539822,0.002492
218,1,0.539858,0.001994
219,1,0.539604,0.001595
220,1,0.539090,0.001276
221,1,0.538342,0.001021
222,1,0.537384,0.001156
223,1,0.536237,0.001596
224,1,0.534921,0.002215
225,1,0.533455,0.002922
226,1,0.531856,0.003653
227,1,0.530137,0.004364
228,1,0.528313,0.005027
229,1,0.526397,0.005624
230,1,0.524398,0.006147
231,0,0.522328,0.004918
232,1,0.521977,0.003934
233,1,0.521397,0.003147
234,1,0.520610,0.002518
235,1,0.519638,0.002368
236,1,0.518499,0.002556
237,1,0.517213,0.002953
238,1,0.515794,0.003466
239,1,0.514258,0.004029
240,1,0.512617,0.004595
241,0,0.510884,0.003676
242,1,0.510788,0.002941
243,1,0.510451,0.002353
244,1,0.509898,0.001882
245,1,0.509150,0.001772
246,1,0.508229,0.002019
247,1,0.507151,0.002486
248,1,0.505934,0.003074
249,1,0.504592,0.003711
250,1,0.503140,0.004347
251,1,0.501590,0.004951
252,1,0.499952,0.005501
253,1,0.498238,0.005986
254,1,0.496457,0.006400
255,1,0.494616,0.006742
256,0,0.492724,0.005394
257,1,0.492449,0.004315
258,1,0.491970,0.003452
259,1,0.491310,0.002762
260,1,0.490485,0.002384
261,0,0.489514,0.001907
262,1,0.490009,0.001526
263,1,0.490232,0.001220
264,1,0.490210,0.000976
265,1,0.489966,0.000781
266,1,0.489522,0.000922
267,1,0.488899,0.001390
268,1,0.488115,0.002048
269,1,0.487186,0.002798
270,1,0.486128,0.003571
271,1,0.484956,0.004320
272,1,0.483680,0.005014
273,1,0.482313,0.005636
274,1,0.480865,0.006176
275,1,0.479346,0.006631
276,1,0.477763,0.007002
277,1,0.476125,0.007292
278,1,0.474438,0.007509
279,1,0.472710,0.007658
280,1,0.470944,0.007748
281,1,0.469148,0.007785
282,1,0.467324,0.007777
283,1,0.465478,0.007731
284,1,0.463613,0.007654
285,1,0.461732,0.007551
286,1,0.459839,0.007426
287,1,0.457936,0.007286
288,1,0.456027,0.007134
289,1,0.454112,0.006973
290,1,0.452194,0.006806
291,1,0.450275,0.006636
292,1,0.448357,0.006465
293,1,0.446440,0.006294
294,1,0.444527,0.006126
295,1,0.442618,0.005961
296,1,0.440715,0.005799
297,1,0.438818,0.005643
298,1,0.436928,0.005492
299,1,0.435046,0.005346
300,1,0.433173,0.005206
301,1,0.431309,0.005072
302,0,0.429455,0.004058
303,1,0.429107,0.003246
304,1,0.428620,0.002597
305,1,0.428007,0.002078
306,1,0.427282,0.001662
307,1,0.426457,0.001330
308,1,0.425542,0.001064
309,1,0.424547,0.001077
310,1,0.423482,0.001289
311,1,0.422353,0.001621
312,1,0.421169,0.002016
313,1,0.419936,0.002433
314,1,0.418659,0.002844
315,1,0.417345,0.003230
316,1,0.415998,0.003579
317,0,0.414623,0.002863
318,1,0.414644,0.002291
319,1,0.414503,0.001833
320,1,0.414216,0.001466
321,1,0.413798,0.001173
322,1,0.413262,0.000938
323,1,0.412621,0.000947
324,1,0.411885,0.001204
325,1,0.411064,0.001609
326,1,0.410168,0.002090
327,1,0.409205,0.002597
328,1,0.408182,0.003095
329,1,0.407107,0.003560
330,1,0.405985,0.003979
331,0,0.404823,0.003184
332,1,0.404988,0.002547
333,1,0.404987,0.002037
334,1,0.404836,0.001630
335,1,0.404550,0.001304
336,1,0.404142,0.001049
337,1,0.403625,0.001148
338,1,0.403010,0.001472
339,1,0.402308,0.001925
340,1,0.401527,0.002438
341,1,0.400677,0.002964
