episode,is_optimal,expected,unexpected
0,0,0.693247,0.000000
1,0,0.696319,0.000047
2,0,0.698972,0.000167
3,0,0.701229,0.000371
4,0,0.703113,0.000662
5,0,0.704646,0.001035
6,1,0.705849,0.000971
7,0,0.711168,0.001077
8,0,0.712463,0.001324
9,0,0.713436,0.001688
10,0,0.714107,0.002144
11,0,0.714492,0.002670
12,0,0.714609,0.003247
13,0,0.714475,0.003856
14,1,0.714104,0.003596
15,0,0.721295,0.003596
16,0,0.721104,0.003793
17,0,0.720675,0.004131
18,1,0.720022,0.003624
19,0,0.727501,0.003461
20,0,0.727040,0.003554
21,0,0.726354,0.003835
22,1,0.725455,0.003249
23,1,0.733184,0.002599
24,0,0.740151,0.002079
25,0,0.739863,0.001864
26,0,0.739330,0.001959
27,1,0.738566,0.001568
28,1,0.745843,0.001254
29,1,0.752375,0.001003
30,0,0.758204,0.000803
31,0,0.758468,0.000642
32,1,0.758437,0.000514
33,0,0.764349,0.000411
34,0,0.764463,0.000329
35,0,0.764287,0.000449
36,0,0.763839,0.000805
37,0,0.763136,0.001328
38,0,0.762194,0.001965
39,0,0.761028,0.002674
40,0,0.759654,0.003422
41,0,0.758084,0.004183
42,1,0.756330,0.003807
43,0,0.764699,0.003761
44,0,0.763181,0.003952
45,1,0.761473,0.003209
46,1,0.769656,0.002567
47,1,0.777003,0.002054
48,0,0.783565,0.001643
49,1,0.782934,0.001315
50,0,0.789129,0.001052
51,1,0.788669,0.000841
52,1,0.794524,0.000673
53,1,0.799680,0.000538
54,0,0.804179,0.000431
55,0,0.804752,0.000345
56,1,0.804973,0.000276
57,1,0.809664,0.000221
58,0,0.813721,0.000176
59,0,0.814494,0.000141
60,0,0.814891,0.000113
61,0,0.814938,0.000149
62,1,0.814656,0.000119
63,0,0.819746,0.000095
64,1,0.819602,0.000076
65,0,0.824422,0.000061
66,0,0.824404,0.000180
67,1,0.824055,0.000144
68,0,0.829027,0.000129
69,0,0.828815,0.000350
70,1,0.828279,0.000280
71,0,0.833386,0.000315
72,1,0.832998,0.000252
73,1,0.837823,0.000202
74,1,0.841975,0.000162
75,0,0.845497,0.000129
76,1,0.846151,0.000103
77,0,0.849515,0.000083
78,1,0.850229,0.000066
79,0,0.853444,0.000053
80,0,0.854212,0.000042
81,1,0.854569,0.000034
82,1,0.858077,0.000027
83,0,0.860983,0.000022
84,1,0.861875,0.000017
85,1,0.864661,0.000014
86,1,0.866890,0.000011
87,1,0.868596,0.000009
88,1,0.869815,0.000007
89,0,0.870579,0.000006
90,0,0.873314,0.000005
91,0,0.875486,0.000004
92,0,0.877131,0.000003
93,0,0.878284,0.000030
94,0,0.878979,0.000180
95,0,0.879245,0.000444
96,0,0.879111,0.000811
97,1,0.878604,0.000785
98,1,0.882549,0.000628
99,0,0.885835,0.000582
100,0,0.885921,0.000706
101,1,0.885612,0.000565
102,0,0.889171,0.000599
103,1,0.888967,0.000479
104,0,0.892333,0.000465
105,0,0.892225,0.000622
106,0,0.891731,0.000921
107,0,0.890876,0.001335
108,0,0.889685,0.001840
109,0,0.888182,0.002413
110,1,0.886387,0.002299
111,1,0.891715,0.001839
112,0,0.896273,0.001655
113,0,0.895153,0.001723
114,0,0.893710,0.001984
115,1,0.891968,0.001682
116,0,0.897088,0.001671
117,1,0.895540,0.001337
118,1,0.900327,0.001069
119,1,0.904375,0.000856
120,1,0.907733,0.000684
121,0,0.910448,0.000548
122,1,0.910520,0.000438
123,0,0.913095,0.000350
124,1,0.913231,0.000280
125,1,0.915676,0.000224
126,0,0.917534,0.000179
127,1,0.918209,0.000144
128,1,0.919992,0.000115
129,0,0.921230,0.000092
130,1,0.922398,0.000073
131,1,0.923607,0.000059
132,1,0.924309,0.000047
133,1,0.924537,0.000107
134,0,0.924325,0.000086
135,1,0.926880,0.000109
136,1,0.926744,0.000273
137,1,0.926192,0.000562
138,0,0.925250,0.000509
139,1,0.928584,0.000628
140,1,0.927770,0.000892
141,0,0.926584,0.000781
142,1,0.930166,0.000867
143,1,0.929122,0.001116
144,1,0.927721,0.001493
145,1,0.925986,0.001972
146,1,0.923943,0.002526
147,1,0.921612,0.003133
148,1,0.919016,0.003774
149,0,0.916172,0.003555
150,1,0.922115,0.003592
151,1,0.919521,0.003819
152,1,0.916679,0.004184
153,1,0.913609,0.004644
154,1,0.910327,0.005167
155,1,0.906849,0.005725
156,1,0.903191,0.006298
157,0,0.899367,0.005704
158,1,0.907232,0.005460
159,1,0.903709,0.005472
160,1,0.900011,0.005668
161,1,0.896152,0.005989
162,1,0.892145,0.006391
163,1,0.888002,0.006841
164,1,0.883734,0.007313
165,1,0.879352,0.007786
166,1,0.874866,0.008248
167,1,0.870286,0.008687
168,1,0.865621,0.009096
169,1,0.860878,0.009471
170,1,0.856065,0.009809
171,1,0.851191,0.010109
172,1,0.846261,0.010370
173,1,0.841282,0.010593
174,1,0.836260,0.010779
175,1,0.831201,0.010930
176,1,0.826111,0.011047
177,1,0.820993,0.011133
178,1,0.815853,0.011190
179,1,0.810695,0.011220
180,1,0.805524,0.011225
181,1,0.800342,0.011208
182,1,0.795154,0.011171
183,1,0.789963,0.011115
184,1,0.784773,0.011042
185,1,0.779585,0.010956
186,1,0.774403,0.010856
187,1,0.769229,0.010745
188,1,0.764067,0.010623
189,1,0.758917,0.010494
190,1,0.753782,0.010357
191,1,0.748664,0.010214
192,1,0.743565,0.010065
193,1,0.738486,0.009913
194,1,0.733430,0.009757
195,1,0.728396,0.009599
196,1,0.723388,0.009438
197,1,0.718405,0.009277
198,1,0.713450,0.009115
199,1,0.708522,0.008952
200,1,0.703624,0.008790
201,0,0.698756,0.007032
202,1,0.715550,0.005626
203,1,0.710930,0.004501
204,1,0.706324,0.003601
205,1,0.701732,0.003090
206,1,0.697156,0.002869
207,1,0.692598,0.002852
208,1,0.688058,0.002973
209,0,0.683539,0.002379
210,1,0.699850,0.001903
211,1,0.695579,0.001522
212,1,0.691312,0.001218
213,1,0.687051,0.000974
214,1,0.682796,0.000890
215,1,0.678551,0.001039
216,1,0.674316,0.001342
217,1,0.670093,0.001740
