episode,is_optimal,expected,unexpected
0,1,0.693247,0.000000
1,0,0.696319,0.000000
2,0,0.699777,0.000000
3,0,0.702787,0.000020
4,1,0.705375,0.000016
5,1,0.709189,0.000013
6,0,0.712524,0.000010
7,0,0.715507,0.000008
8,0,0.718060,0.000075
9,1,0.720207,0.000060
10,0,0.724259,0.000071
11,1,0.726429,0.000057
12,0,0.730361,0.000046
13,0,0.732550,0.000149
14,0,0.734343,0.000370
15,0,0.735765,0.000697
16,0,0.736839,0.001116
17,0,0.737585,0.001611
18,0,0.738022,0.002167
19,1,0.738171,0.002077
20,1,0.744233,0.001661
21,1,0.749634,0.001329
22,0,0.754413,0.001063
23,1,0.755541,0.000851
24,0,0.760123,0.000681
25,0,0.761325,0.000629
26,1,0.762171,0.000504
27,1,0.766956,0.000403
28,0,0.771144,0.000322
29,1,0.772504,0.000258
30,1,0.776531,0.000206
31,0,0.780003,0.000165
32,1,0.781838,0.000132
33,0,0.785200,0.000106
34,1,0.787047,0.000084
35,1,0.790304,0.000068
36,1,0.793045,0.000054
37,0,0.795300,0.000043
38,0,0.798005,0.000035
39,0,0.800222,0.000028
40,1,0.801982,0.000022
41,1,0.805057,0.000018
42,0,0.807614,0.000014
43,0,0.809811,0.000011
44,0,0.811544,0.000087
45,0,0.812842,0.000277
46,0,0.813732,0.000574
47,0,0.814240,0.000966
48,1,0.814391,0.000940
49,0,0.818972,0.001083
50,0,0.819233,0.001366
51,1,0.819149,0.001225
52,1,0.823908,0.000980
53,0,0.828013,0.000845
54,0,0.828498,0.000916
55,1,0.828616,0.000733
56,0,0.832941,0.000718
57,0,0.833164,0.000892
58,0,0.833031,0.001216
59,1,0.832567,0.001070
60,1,0.837493,0.000856
61,1,0.841740,0.000685
62,1,0.845350,0.000548
63,0,0.848364,0.000438
64,1,0.849401,0.000351
65,0,0.852296,0.000281
66,1,0.853363,0.000224
67,1,0.856145,0.000180
68,1,0.858377,0.000144
69,0,0.860096,0.000115
70,0,0.862094,0.000092
71,0,0.863590,0.000074
72,0,0.864618,0.000118
73,1,0.865208,0.000095
74,0,0.868239,0.000110
75,1,0.868883,0.000088
76,1,0.871779,0.000070
77,1,0.874102,0.000056
78,0,0.875889,0.000045
79,0,0.877501,0.000036
80,1,0.878624,0.000029
81,0,0.880824,0.000023
82,0,0.881953,0.000082
83,1,0.882621,0.000065
84,1,0.885197,0.000052
85,1,0.887207,0.000042
86,0,0.888691,0.000033
87,1,0.890326,0.000027
88,1,0.891783,0.000032
89,1,0.892747,0.000131
90,1,0.893251,0.000331
91,0,0.893325,0.000302
92,1,0.896288,0.000398
93,1,0.896437,0.000612
94,1,0.896178,0.000933
95,1,0.895538,0.001346
96,1,0.894544,0.001835
97,0,0.893220,0.001773
98,0,0.897787,0.001418
99,0,0.901635,0.001135
100,1,0.904811,0.000908
101,0,0.904611,0.000726
102,0,0.907613,0.000581
103,1,0.909997,0.000465
104,1,0.910363,0.000372
105,0,0.910293,0.000297
106,0,0.913024,0.000238
107,1,0.915150,0.000190
108,0,0.915635,0.000152
109,0,0.917666,0.000122
110,0,0.919138,0.000097
111,0,0.920088,0.000078
112,1,0.920552,0.000062
113,0,0.922493,0.000050
114,1,0.922987,0.000040
115,1,0.924842,0.000032
116,0,0.926143,0.000026
117,1,0.927144,0.000020
118,1,0.928407,0.000016
119,1,0.929154,0.000054
120,1,0.929420,0.000198
121,0,0.929238,0.000158
122,0,0.931645,0.000127
123,1,0.933451,0.000101
124,0,0.933828,0.000081
125,1,0.935551,0.000065
126,0,0.935957,0.000052
127,1,0.937603,0.000041
128,1,0.938033,0.000127
129,1,0.937996,0.000317
130,1,0.937523,0.000608
131,1,0.936645,0.000990
132,0,0.935391,0.000967
133,1,0.938831,0.001106
134,1,0.937720,0.001384
135,1,0.936247,0.001773
136,0,0.934439,0.001650
137,1,0.938559,0.001739
138,0,0.936930,0.001437
139,1,0.940770,0.001392
140,1,0.939309,0.001550
141,1,0.937508,0.001868
142,0,0.935392,0.001645
143,1,0.939865,0.001679
144,1,0.937948,0.001911
145,1,0.935723,0.002293
146,1,0.933213,0.002784
147,1,0.930438,0.003352
148,0,0.927418,0.003088
149,1,0.933293,0.003104
150,0,0.930528,0.002514
151,1,0.935970,0.002303
152,1,0.933445,0.002376
153,1,0.930656,0.002659
154,1,0.927622,0.003092
155,1,0.924364,0.003628
156,1,0.920896,0.004229
157,1,0.917236,0.004865
158,1,0.913399,0.005514
159,1,0.909399,0.006158
160,1,0.905248,0.006784
161,1,0.900961,0.007382
162,0,0.896547,0.006620
163,1,0.905461,0.006243
164,1,0.901373,0.006149
165,1,0.897147,0.006256
166,1,0.892794,0.006501
167,1,0.888326,0.006835
168,0,0.883752,0.005805
169,1,0.893351,0.005262
170,1,0.889108,0.005076
171,1,0.884746,0.005143
172,1,0.880274,0.005386
173,1,0.875704,0.005744
174,1,0.871043,0.006171
