episode,is_optimal,expected,unexpected
0,1,0.693247,0.000000
1,1,0.696319,0.000047
2,0,0.698972,0.000037
3,1,0.702811,0.000030
4,0,0.705462,0.000024
5,1,0.709211,0.000019
6,1,0.711858,0.000070
7,1,0.714098,0.000226
8,1,0.715956,0.000484
9,0,0.717455,0.000423
10,1,0.722253,0.000515
11,1,0.723820,0.000742
12,0,0.725038,0.000620
13,1,0.730033,0.000684
14,0,0.731334,0.000547
15,0,0.736132,0.000438
16,1,0.740362,0.000350
17,1,0.742150,0.000349
18,1,0.743560,0.000518
19,0,0.744615,0.000414
20,1,0.749469,0.000456
21,0,0.750609,0.000365
22,1,0.755264,0.000340
23,0,0.756479,0.000272
24,1,0.760947,0.000218
25,0,0.762231,0.000174
26,0,0.766523,0.000139
27,0,0.770251,0.000111
28,0,0.773450,0.000089
29,1,0.776152,0.000071
30,1,0.778757,0.000057
31,0,0.780899,0.000046
32,1,0.783967,0.000037
33,0,0.786100,0.000029
34,1,0.789087,0.000023
35,0,0.791207,0.000019
36,0,0.794117,0.000015
37,1,0.796529,0.000012
38,0,0.799060,0.000010
39,0,0.801433,0.000008
40,1,0.803337,0.000006
41,1,0.806243,0.000005
42,1,0.808640,0.000004
43,1,0.810560,0.000073
44,1,0.812033,0.000245
45,1,0.813088,0.000517
46,1,0.813751,0.000883
47,1,0.814047,0.001330
48,1,0.813999,0.001844
49,1,0.813631,0.002412
50,1,0.812962,0.003020
51,1,0.812012,0.003654
52,0,0.810801,0.003481
53,1,0.817163,0.003541
54,1,0.816145,0.003777
55,1,0.814866,0.004142
56,1,0.813343,0.004597
57,1,0.811592,0.005113
58,1,0.809629,0.005663
59,1,0.807469,0.006230
60,1,0.805125,0.006796
61,1,0.802610,0.007351
62,1,0.799935,0.007884
63,1,0.797113,0.008389
64,1,0.794154,0.008862
65,1,0.791069,0.009298
66,1,0.787866,0.009697
67,1,0.784555,0.010056
68,1,0.781144,0.010375
69,1,0.777642,0.010656
70,1,0.774054,0.010898
71,1,0.770390,0.011104
72,0,0.766655,0.009598
73,1,0.778272,0.008620
74,1,0.774834,0.008034
75,1,0.771310,0.007734
76,1,0.767707,0.007639
77,1,0.764032,0.007687
78,1,0.760291,0.007829
79,0,0.756489,0.006284
80,1,0.768545,0.005359
81,1,0.765039,0.004888
82,1,0.761458,0.004744
83,1,0.757807,0.004829
84,0,0.754093,0.003863
85,1,0.766037,0.003091
86,1,0.762617,0.002665
87,1,0.759118,0.002612
88,1,0.755546,0.002819
89,1,0.751908,0.003199
90,1,0.748209,0.003686
91,1,0.744455,0.004233
92,1,0.740651,0.004803
93,1,0.736803,0.005369
94,1,0.732914,0.005915
95,1,0.728989,0.006427
96,1,0.725033,0.006898
97,1,0.721048,0.007323
98,0,0.717040,0.005858
99,1,0.730779,0.004824
100,1,0.727054,0.004269
101,1,0.723287,0.004058
102,1,0.719484,0.004090
103,1,0.715648,0.004286
104,1,0.711783,0.004587
105,1,0.707893,0.004949
106,1,0.703981,0.005340
107,1,0.700050,0.005735
108,1,0.696104,0.006119
109,1,0.692144,0.006481
110,1,0.688175,0.006812
111,1,0.684198,0.007109
112,1,0.680216,0.007369
113,1,0.676230,0.007592
114,1,0.672244,0.007779
115,1,0.668258,0.007930
116,1,0.664276,0.008049
117,1,0.660298,0.008137
118,1,0.656326,0.008196
119,1,0.652362,0.008230
120,1,0.648407,0.008241
121,1,0.644463,0.008231
122,1,0.640531,0.008203
123,1,0.636611,0.008159
124,1,0.632706,0.008101
125,1,0.628815,0.008030
126,1,0.624941,0.007949
127,1,0.621083,0.007859
128,1,0.617244,0.007762
129,1,0.613422,0.007659
130,1,0.609620,0.007550
131,1,0.605838,0.007438
132,1,0.602076,0.007322
133,1,0.598335,0.007204
134,1,0.594616,0.007085
135,1,0.590919,0.006964
136,1,0.587244,0.006843
137,1,0.583592,0.006722
138,1,0.579963,0.006602
139,1,0.576358,0.006482
140,1,0.572777,0.006363
141,1,0.569220,0.006246
142,1,0.565687,0.006130
143,1,0.562178,0.006016
144,1,0.558695,0.005904
145,1,0.555236,0.005793
146,1,0.551802,0.005685
147,1,0.548393,0.005578
148,1,0.545010,0.005474
149,1,0.541652,0.005372
150,1,0.538319,0.005272
151,1,0.535012,0.005175
152,1,0.531730,0.005080
153,1,0.528473,0.004986
154,1,0.525242,0.004895
155,1,0.522037,0.004807
156,1,0.518857,0.004720
157,1,0.515702,0.004635
158,1,0.512572,0.004553
159,1,0.509468,0.004472
160,1,0.506389,0.004393
161,1,0.503335,0.004317
162,1,0.500306,0.004242
163,0,0.497302,0.003394
164,1,0.515217,0.002715
165,1,0.512337,0.002172
166,1,0.509473,0.001737
167,1,0.506625,0.001390
168,1,0.503792,0.001112
169,1,0.500976,0.000890
170,1,0.498177,0.000712
171,1,0.495394,0.000604
172,1,0.492628,0.000655
173,1,0.489880,0.000813
174,1,0.487149,0.001038
175,1,0.484435,0.001300
176,1,0.481738,0.001578
177,1,0.479059,0.001857
178,0,0.476398,0.001486
179,1,0.493501,0.001188
180,1,0.490973,0.000951
181,1,0.488453,0.000761
182,1,0.485941,0.000608
183,1,0.483439,0.000487
184,1,0.480947,0.000389
185,1,0.478465,0.000312
186,1,0.475993,0.000387
187,1,0.473531,0.000591
188,1,0.471081,0.000875
189,1,0.468642,0.001204
190,1,0.466215,0.001551
191,1,0.463799,0.001898
192,1,0.461395,0.002232
193,0,0.459004,0.001786
194,1,0.475466,0.001428
195,1,0.473213,0.001143
196,1,0.470963,0.000914
197,1,0.468716,0.000731
198,1,0.466474,0.000585
199,1,0.464236,0.000468
200,1,0.462004,0.000453
201,1,0.459777,0.000606
202,1,0.457556,0.000866
203,1,0.455341,0.001191
204,1,0.453134,0.001547
205,1,0.450933,0.001911
206,1,0.448740,0.002267
207,1,0.446555,0.002605
208,0,0.444378,0.002084
209,1,0.460328,0.001667
210,1,0.458293,0.001334
211,1,0.456257,0.001067
212,1,0.454221,0.000854
213,1,0.452185,0.000683
214,1,0.450150,0.000546
215,1,0.448116,0.000580
216,1,0.446084,0.000766
217,1,0.444055,0.001050
218,0,0.442029,0.000840
219,1,0.457414,0.000672
220,1,0.455542,0.000538
221,1,0.453662,0.000430
222,1,0.451777,0.000344
223,1,0.449887,0.000275
224,1,0.447993,0.000220
225,1,0.446095,0.000340
226,1,0.444195,0.000610
227,1,0.442293,0.000973
228,1,0.440389,0.001386
229,1,0.438485,0.001818
230,1,0.436580,0.002247
231,1,0.434676,0.002659
232,1,0.432773,0.003042
233,1,0.430871,0.003392
234,1,0.428971,0.003704
235,1,0.427074,0.003979
236,1,0.425179,0.004215
237,1,0.423287,0.004415
238,1,0.421399,0.004581
239,1,0.419516,0.004715
240,1,0.417636,0.004819
241,1,0.415761,0.004897
242,1,0.413891,0.004951
243,1,0.412026,0.004984
244,1,0.410167,0.004998
245,1,0.408314,0.004997
246,1,0.406467,0.004981
247,1,0.404626,0.004953
248,1,0.402792,0.004915
249,1,0.400964,0.004868
250,1,0.399143,0.004814
251,1,0.397330,0.004755
252,0,0.395524,0.003804
253,1,0.411054,0.003043
254,1,0.409368,0.002434
255,1,0.407682,0.001948
256,1,0.405996,0.001558
257,1,0.404311,0.001246
258,1,0.402627,0.000997
259,1,0.400944,0.000798
260,1,0.399263,0.000755
261,1,0.397585,0.000854
262,1,0.395908,0.001046
263,1,0.394235,0.001293
264,1,0.392565,0.001569
265,1,0.390898,0.001855
266,1,0.389235,0.002136
267,1,0.387576,0.002404
268,1,0.385921,0.002652
269,1,0.384271,0.002877
270,1,0.382625,0.003078
271,1,0.380985,0.003252
272,1,0.379349,0.003401
273,1,0.377719,0.003527
274,1,0.376095,0.003629
275,1,0.374476,0.003711
276,1,0.372863,0.003773
277,1,0.371256,0.003818
278,1,0.369655,0.003848
279,1,0.368060,0.003864
280,1,0.366472,0.003867
281,1,0.364890,0.003861
282,1,0.363315,0.003845
283,1,0.361747,0.003821
284,1,0.360186,0.003791
285,1,0.358631,0.003755
286,1,0.357084,0.003715
287,1,0.355543,0.003671
288,1,0.354010,0.003624
289,1,0.352484,0.003575
290,1,0.350966,0.003524
291,1,0.349455,0.003472
292,1,0.347951,0.003419
293,1,0.346455,0.003365
294,1,0.344966,0.003312
295,1,0.343485,0.003258
296,1,0.342012,0.003205
297,1,0.340546,0.003152
298,1,0.339088,0.003100
299,1,0.337637,0.003049
300,1,0.336195,0.002998
301,1,0.334760,0.002949
302,1,0.333332,0.002900
303,1,0.331913,0.002853
304,1,0.330501,0.002806
305,1,0.329097,0.002761
306,1,0.327701,0.002717
307,1,0.326313,0.002673
308,1,0.324932,0.002631
309,1,0.323560,0.002590
310,1,0.322195,0.002550
311,1,0.320837,0.002512
312,1,0.319488,0.002474
313,1,0.318146,0.002437
314,1,0.316812,0.002401
315,1,0.315486,0.002366
316,1,0.314168,0.002332
317,1,0.312857,0.002299
318,1,0.311554,0.002266
319,1,0.310258,0.002235
320,1,0.308971,0.002204
321,0,0.307690,0.001763
322,1,0.322409,0.001411
323,1,0.321196,0.001129
324,1,0.319987,0.000903
325,1,0.318781,0.000722
326,1,0.317579,0.000578
327,1,0.316381,0.000462
328,1,0.315186,0.000370
329,1,0.313996,0.000296
330,1,0.312809,0.000237
331,1,0.311626,0.000189
332,1,0.310448,0.000223
333,1,0.309274,0.000348
334,1,0.308104,0.000529
335,1,0.306939,0.000742
336,1,0.305777,0.000969
337,1,0.304621,0.001197
338,1,0.303469,0.001416
339,1,0.302322,0.001621
340,1,0.301179,0.001808
341,1,0.300041,0.001975
342,1,0.298907,0.002122
343,1,0.297779,0.002249
344,1,0.296655,0.002355
345,1,0.295536,0.002444
346,0,0.294422,0.001955
347,1,0.308339,0.001564
348,1,0.307304,0.001251
349,1,0.306269,0.001001
350,1,0.305235,0.000801
351,1,0.304202,0.000641
352,1,0.303170,0.000512
353,1,0.302139,0.000410
354,1,0.301109,0.000328
355,1,0.300080,0.000262
356,1,0.299053,0.000310
357,1,0.298028,0.000457
358,1,0.297004,0.000666
359,1,0.295983,0.000909
360,1,0.294963,0.001165
361,1,0.293946,0.001421
362,1,0.292930,0.001667
363,1,0.291917,0.001896
364,1,0.290907,0.002104
365,1,0.289899,0.002289
366,1,0.288893,0.002451
367,1,0.287890,0.002590
368,1,0.286890,0.002706
369,1,0.285893,0.002802
370,0,0.284899,0.002241
371,1,0.298227,0.001793
372,1,0.297320,0.001434
373,1,0.296411,0.001148
374,1,0.295500,0.000918
375,1,0.294588,0.000734
376,1,0.293675,0.000588
377,1,0.292762,0.000470
378,1,0.291847,0.000376
379,1,0.290932,0.000344
380,1,0.290017,0.000443
381,1,0.289102,0.000628
382,1,0.288186,0.000864
383,1,0.287271,0.001126
384,1,0.286356,0.001395
385,1,0.285441,0.001659
386,1,0.284527,0.001908
387,1,0.283614,0.002139
388,1,0.282702,0.002346
389,1,0.281790,0.002530
390,1,0.280880,0.002689
391,1,0.279971,0.002823
392,1,0.279063,0.002936
393,1,0.278157,0.003026
394,1,0.277252,0.003098
395,1,0.276348,0.003151
396,1,0.275447,0.003189
397,1,0.274547,0.003212
398,1,0.273649,0.003223
399,1,0.272753,0.003223
400,1,0.271859,0.003213
401,1,0.270967,0.003196
402,1,0.270077,0.003172
403,1,0.269189,0.003142
404,1,0.268304,0.003108
405,1,0.267421,0.003069
406,1,0.266541,0.003028
407,1,0.265663,0.002984
408,1,0.264787,0.002939
409,1,0.263914,0.002893
410,1,0.263044,0.002845
411,0,0.262176,0.002276
412,1,0.274991,0.001821
413,1,0.274201,0.001457
414,1,0.273409,0.001165
415,1,0.272617,0.000932
416,1,0.271824,0.000746
417,1,0.271030,0.000597
418,1,0.270235,0.000477
419,1,0.269440,0.000382
420,1,0.268644,0.000306
421,1,0.267849,0.000280
422,1,0.267053,0.000371
423,1,0.266257,0.000537
424,1,0.265462,0.000747
425,1,0.264666,0.000980
426,1,0.263871,0.001219
427,1,0.263077,0.001454
428,1,0.262283,0.001676
429,1,0.261490,0.001881
430,1,0.260698,0.002067
431,1,0.259906,0.002231
432,1,0.259116,0.002373
433,1,0.258326,0.002494
434,1,0.257538,0.002595
435,1,0.256751,0.002678
436,1,0.255965,0.002743
437,1,0.255181,0.002792
438,1,0.254398,0.002827
439,1,0.253616,0.002850
440,1,0.252836,0.002861
441,1,0.252058,0.002863
442,1,0.251281,0.002857
443,1,0.250506,0.002843
444,1,0.249733,0.002824
445,1,0.248962,0.002799
446,1,0.248193,0.002771
447,1,0.247425,0.002739
448,1,0.246660,0.002704
449,1,0.245896,0.002667
450,1,0.245135,0.002628
451,1,0.244376,0.002589
452,1,0.243618,0.002549
453,1,0.242864,0.002508
454,1,0.242111,0.002467
455,1,0.241361,0.002426
456,1,0.240612,0.002385
457,1,0.239867,0.002345
458,1,0.239123,0.002306
459,1,0.238382,0.002267
460,1,0.237643,0.002229
461,1,0.236907,0.002192
462,1,0.236173,0.002155
463,1,0.235442,0.002120
464,1,0.234713,0.002085
