episode,is_optimal,expected,unexpected
0,1,0.008326,0.000000
1,0,0.016587,0.000000
2,0,0.024787,0.000000
3,0,0.032922,0.000020
4,1,0.040992,0.000016
5,0,0.049003,0.000013
6,0,0.056950,0.000085
7,1,0.064830,0.000068
8,0,0.072655,0.000079
9,0,0.080416,0.000206
10,0,0.088109,0.000446
11,0,0.095734,0.000787
12,1,0.103290,0.000728
13,0,0.110800,0.000841
14,0,0.118242,0.001099
15,0,0.125614,0.001475
16,1,0.132917,0.001342
17,0,0.140179,0.001425
18,0,0.147372,0.001678
19,0,0.154496,0.002065
20,0,0.161549,0.002551
21,0,0.168530,0.003109
22,0,0.175440,0.003714
23,1,0.182276,0.003450
24,0,0.189085,0.003457
25,0,0.195824,0.003666
26,1,0.202491,0.003129
27,0,0.209132,0.002950
28,0,0.215704,0.003041
29,1,0.222206,0.002439
30,0,0.228683,0.002232
31,0,0.235092,0.002319
32,1,0.241433,0.001856
33,0,0.247750,0.001655
34,0,0.254001,0.001761
35,1,0.260184,0.001409
36,0,0.266345,0.001226
37,1,0.272441,0.000981
38,0,0.278513,0.000785
39,0,0.284522,0.000795
40,0,0.290466,0.001073
41,1,0.296345,0.000858
42,0,0.302205,0.000786
43,0,0.308002,0.001006
44,0,0.313734,0.001434
45,0,0.319402,0.002007
46,1,0.325005,0.001671
47,1,0.330595,0.001337
48,0,0.336167,0.001069
49,1,0.341679,0.000856
50,0,0.347171,0.000684
51,0,0.352605,0.000548
52,0,0.357979,0.000717
53,0,0.363293,0.001117
54,1,0.368546,0.000894
55,1,0.373786,0.000715
56,0,0.379010,0.000572
57,0,0.384176,0.000468
58,0,0.389286,0.000672
59,0,0.394337,0.001098
60,0,0.399329,0.001677
61,0,0.404261,0.002356
62,1,0.409134,0.002045
63,0,0.414001,0.002080
64,1,0.418809,0.001664
65,0,0.423611,0.001386
66,1,0.428356,0.001109
67,0,0.433091,0.000887
68,0,0.437772,0.000826
69,0,0.442398,0.001064
70,1,0.446968,0.000852
71,0,0.451532,0.000717
72,0,0.456042,0.000905
73,0,0.460497,0.001322
74,0,0.464897,0.001898
75,1,0.469241,0.001518
76,0,0.473584,0.001516
77,0,0.477874,0.001789
78,1,0.482108,0.001431
