episode,reward,unexpected_uncertainty,expected_uncertainty,mean_variance,mean_td_error_sq,mean_delta_var,mean_actor_lr,mean_abs_td
0,19.0,2.150398805257814e-06,0.1448054678019864,0.6939082459399575,0.9986382411185584,2.7983895615078082e-05,1e-05,0.9993166013767845
1,16.0,6.052834536285661e-08,0.2471400831757022,0.6950989589095116,0.9960335194061747,2.753080251405677e-05,1e-05,0.9980082362890244
2,18.0,0.00018548166006274026,0.34425521015746274,0.6955274277263217,0.9993897356919833,2.775962130506452e-05,1e-05,0.9996851682662964
3,12.0,1.2746202623636151e-05,0.39996788244823694,0.6965925892194113,0.9956079574888955,2.7227655834195015e-05,1e-05,0.9977793991565704
4,13.0,7.007298997338458e-07,0.4532638391550313,0.6974179148674011,0.9935487993486999,2.689887102181816e-05,1e-05,0.996734197323139
5,18.0,1.2623227661314864e-08,0.5165465184797084,0.6983344687355889,0.9941422598135939,2.678765375344974e-05,1e-05,0.9970316853788164
6,19.0,0.00015481699739639958,0.5721436159624824,0.6995435451206408,0.9962268148554599,2.6769999348358227e-05,1e-05,0.9980510975185194
7,10.0,1.6623348517061344e-05,0.5974136691301007,0.6996251285076142,0.9883582613905361,2.604988475588609e-05,1e-05,0.9941029906272888
8,56.0,0.007421381085497284,0.7007435550521561,0.7013504749962262,0.999143726905098,2.670111793118348e-05,1.0000000000000014e-05,0.9995272404381207
9,18.0,0.00013369171636488017,0.7236778554097701,0.7045326497819688,0.974960351779706,2.4049970280300488e-05,1e-05,0.9872976243495941
10,19.0,1.92670068481087e-06,0.7438979233448691,0.7056494449314318,0.9848137259627346,2.4744209480691022e-05,1e-05,0.992194718436191
11,12.0,1.3240186288709596e-07,0.7547792771752698,0.7050694227218628,0.9851426256016497,2.487559802265426e-05,1e-05,0.9923429389794668
12,12.0,9.098586736472856e-09,0.7645353196523912,0.7067242413759232,0.9832455389669326,2.444634055092649e-05,1e-05,0.9913342843453089
13,14.0,4.001600765232161e-10,0.7745483072996303,0.7070308583123344,0.9847055274057802,2.4510117256749426e-05,1e-05,0.9920931075300489
14,10.0,4.2966861045801784e-11,0.780879137653972,0.7069152414798736,0.9802972035785583,2.4195608628392054e-05,1e-05,0.9897674977779388
15,20.0,4.953741808515917e-13,0.7920183869756937,0.7091204851865769,0.9759815775953069,2.3441622342844517e-05,1e-05,0.9876403868198395
16,22.0,3.655216293957134e-15,0.8021025372957322,0.7104464281689037,0.9825702712421293,2.383005065125061e-05,1e-05,0.9908623749559576
